N, V, Time (ms)
1000000, 2, 82.3936
1000000, 4, 82.6342
1000000, 8, 83.2234
1000000, 16, 77.7374
1000000, 32, 70.1027
1000000, 64, 69.8854
1000000, 128, 70.9235
1000000, 256, 72.32
