N, V, Time (ms)
100000, 2, 8.31267
100000, 4, 7.54978
100000, 8, 9.36152
100000, 16, 8.39283
100000, 32, 7.00521
100000, 64, 6.80056
100000, 128, 7.39473
100000, 256, 8.03399
