N, V, Time (ms)
10000, 2, 0.657889
10000, 4, 0.648838
10000, 8, 0.668632
10000, 16, 0.864613
10000, 32, 0.79585
10000, 64, 0.642363
10000, 128, 0.723807
10000, 256, 0.770025
