N, V, Time (ms)
1000, 2, 0.098111
1000, 4, 0.076688
1000, 8, 0.067248
1000, 16, 0.083333
1000, 32, 0.06298
1000, 64, 0.076223
1000, 128, 0.080878
1000, 256, 0.074667
